City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Curuguaty,PY,-24.4694,-55.6945,86.61,39,62,6.49,broken clouds
105,Chota,PE,-6.55,-78.65,59.13,75,100,2.46,light rain
106,Khani,GE,41.9563,42.9566,26.17,87,100,0.63,overcast clouds
107,Voskresenskoye,RU,56.8381,45.4317,23.5,98,100,3.89,light snow
108,Saint Anthony,US,45.0205,-93.218,42.85,55,20,12.66,few clouds
109,Vallenar,CL,-28.5708,-70.7581,83.07,28,0,9.26,clear sky
110,Kahului,US,20.8947,-156.47,80.62,50,40,14.0,scattered clouds
111,Kautokeino,NO,69.0125,23.0412,6.67,98,100,2.04,overcast clouds
112,Avarua,CK,-21.2078,-159.775,82.45,78,70,2.3,broken clouds
113,Ainazi,LV,57.8636,24.3578,32.25,78,99,5.57,overcast clouds
114,Omurtag,BG,43.1,26.4167,26.24,77,89,2.28,overcast clouds
115,Ahipara,NZ,-35.1667,173.1667,64.47,83,19,4.09,few clouds
116,Atuona,PF,-9.8,-139.0333,78.84,70,99,14.97,overcast clouds
117,Luderitz,NA,-26.6481,15.1594,65.91,74,0,25.57,clear sky
118,Cape Town,ZA,-33.9258,18.4232,62.35,60,100,13.91,overcast clouds
119,Krasnoselkup,RU,65.7,82.4667,-9.76,100,88,7.52,overcast clouds
120,Kizilskoye,RU,52.7255,58.8937,-5.6,100,96,2.1,overcast clouds
121,Qaanaaq,GL,77.484,-69.3632,-9.02,92,100,5.7,overcast clouds
122,Saskylakh,RU,71.9167,114.0833,-16.87,98,99,4.18,overcast clouds
123,Inuvik,CA,68.3499,-133.7218,-8.27,88,37,12.1,scattered clouds
124,Atbasar,KZ,51.8,68.3333,4.15,98,100,3.74,overcast clouds
125,Tucuman,AR,-26.8241,-65.2226,75.2,64,75,6.91,broken clouds
126,Shubarshi,KZ,48.5872,57.1869,7.41,96,100,2.1,overcast clouds
127,Basoko,CD,1.2391,23.616,74.08,86,86,1.86,overcast clouds
128,Rangoon,MM,16.8053,96.1561,80.56,78,20,5.75,few clouds
129,Nogliki,RU,51.8333,143.1667,7.75,98,100,2.1,overcast clouds
130,Tiksi,RU,71.6872,128.8694,-22.49,100,98,2.39,overcast clouds
131,Decatur,US,39.8403,-88.9548,57.87,44,0,16.11,clear sky
132,Sorland,NO,67.667,12.6934,37.26,76,40,10.38,scattered clouds
133,Noumea,NC,-22.2763,166.4572,81.0,99,2,6.6,clear sky
134,Mwaya,TZ,-9.55,33.95,73.45,85,100,4.76,light rain
135,Provideniya,RU,64.3833,-173.3,15.39,53,0,10.87,clear sky
136,East London,ZA,-33.0153,27.9116,69.31,91,99,3.11,light rain
137,Soyo,AO,-6.1349,12.3689,80.26,78,100,7.29,light rain
138,Rio Gallegos,AR,-51.6226,-69.2181,55.45,33,20,42.57,few clouds
139,Zschopau,DE,50.75,13.0667,40.5,36,0,17.78,clear sky
140,Cairns,AU,-16.9167,145.7667,77.07,94,40,10.36,light rain
141,La Gomera,GT,14.0833,-91.05,94.1,36,91,14.61,overcast clouds
142,Raga,SS,8.4596,25.678,80.33,16,100,2.98,overcast clouds
