City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
53,Puerto Ayora,EC,2022-03-13 02:41:30,-0.7393,-90.3518,75.54,100,16,1.32
54,Abu Samrah,SY,2022-03-13 02:41:30,35.3029,37.1841,37.44,93,79,7.92
55,Bluff,NZ,2022-03-13 02:41:31,-46.6,168.3333,64.8,66,0,7.07
56,Nouadhibou,MR,2022-03-13 02:41:31,20.931,-17.0347,62.58,82,0,20.71
57,Sambava,MG,2022-03-13 02:41:31,-14.2667,50.1667,75.42,86,99,8.08
58,Vaini,TO,2022-03-13 02:41:32,-21.2,-175.2,86.16,74,40,4.61
59,Belen,TR,2022-03-13 02:41:32,36.4891,36.2233,30.34,100,40,3.44
60,Vijayapuri,IN,2022-03-13 02:41:32,11.2333,77.5,76.41,48,69,1.05
61,Marystown,CA,2022-03-13 02:41:24,47.1666,-55.1483,42.85,100,100,15.99
62,Viedma,AR,2022-03-13 02:41:33,-40.8135,-62.9967,61.29,67,100,13.2
63,Bokoro,TD,2022-03-13 02:41:33,12.3807,17.0568,74.44,16,51,9.82
64,Isla Mujeres,MX,2022-03-13 02:41:34,21.2311,-86.731,75.25,78,96,21.59
65,Hami,CN,2022-03-13 02:39:11,42.8,93.45,50.65,44,95,7.56
66,Billings,US,2022-03-13 02:41:34,45.7833,-108.5007,49.77,40,40,9.22
67,Solnechnyy,RU,2022-03-13 02:41:35,50.7214,136.6319,22.39,86,100,5.12
68,Gamboula,CF,2022-03-13 02:41:35,4.1178,15.1393,70.36,78,95,2.39
69,Mamlyutka,KZ,2022-03-13 02:41:35,54.9375,68.5394,-0.38,92,100,9.04
70,Tuktoyaktuk,CA,2022-03-13 02:41:36,69.4541,-133.0374,-13.0,70,75,14.97
71,Saryozek,KZ,2022-03-13 02:41:36,44.3583,77.9753,47.73,70,100,6.31
72,Hilo,US,2022-03-13 02:41:37,19.7297,-155.09,80.33,65,20,10.36
73,Mareeba,AU,2022-03-13 02:41:37,-17.0,145.4333,82.67,53,85,9.64
74,Sembe,CG,2022-03-13 02:41:37,1.6481,14.5806,67.86,96,91,1.77
75,Avallon,FR,2022-03-13 02:40:25,47.4833,3.9,42.82,83,62,8.81
76,Lompoc,US,2022-03-13 02:41:38,34.6391,-120.4579,55.54,79,20,25.99
77,Bongandanga,CD,2022-03-13 02:41:38,1.5,21.05,67.5,98,100,3.0
78,Rabaul,PG,2022-03-13 02:41:39,-4.1967,152.1721,83.26,66,94,3.53
79,San Cristobal,VE,2022-03-13 02:41:39,7.7669,-72.225,69.98,95,99,1.5
80,Ponta Do Sol,PT,2022-03-13 02:41:40,32.6667,-17.1,65.07,76,99,6.96
81,Aswan,EG,2022-03-13 02:41:40,24.0934,32.907,51.1,40,0,4.61
82,Vardo,NO,2022-03-13 02:41:41,70.3705,31.1107,30.07,82,88,3.0
83,Candido Mendes,BR,2022-03-13 02:41:41,-1.4467,-45.7167,73.47,97,99,2.89
84,Jamestown,US,2022-03-13 02:40:29,42.097,-79.2353,17.71,52,100,24.16
85,Korla,CN,2022-03-13 02:41:41,41.7597,86.1469,52.81,37,97,5.03
86,Cherskiy,RU,2022-03-13 02:41:42,68.75,161.3,-2.58,91,100,4.03
87,Ginir,ET,2022-03-13 02:41:42,7.1333,40.7,58.32,43,100,4.03
