City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
532,Carutapera,BR,78.26,overcast clouds,-1.195,-46.02,Lidera
534,Jesus Carranza,MX,75.54,overcast clouds,17.4333,-95.0333,Cuarto atras de una iglesia
540,Hambantota,LK,77.67,broken clouds,6.1241,81.1185,Bungalow 63
541,Manokwari,ID,78.17,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
545,Nathdwara,IN,75.78,clear sky,24.9333,73.8167,Hotel Sudarshan
549,Tevaitoa,PF,81.16,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
551,Nosy Varika,MG,75.65,moderate rain,-20.5833,48.5333,Hotel Volazara
555,Tres Passos,BR,78.66,scattered clouds,-27.4556,-53.9319,Hotel Imperial
567,Takoradi,GH,80.91,moderate rain,4.8845,-1.7554,Raybow International Hotel
570,Osmanabad,IN,78.69,clear sky,18.1667,76.05,Hotel Megh Malhar
577,Teluknaga,ID,84.61,mist,-6.0989,106.6381,Kost Mewah (Mepet Sawah)
581,Colombo,LK,77.77,overcast clouds,6.9319,79.8478,Galle Face Hotel
582,Bowen,AU,77.41,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
587,Saint-Georges,GD,79.68,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
589,Coahuayana,MX,87.69,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
591,Illapel,CL,80.69,clear sky,-31.6308,-71.1653,Hotel Londres
598,Iralaya,HN,83.26,few clouds,15.0,-83.2333,Iglesia morava renovada
604,Caravelas,BR,81.25,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
608,Villa Constitucion,AR,83.1,clear sky,-33.2278,-60.3297,HOTEL EMBAJADOR
609,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
611,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
618,Ilhabela,BR,77.99,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
619,Naranjal,EC,83.03,light rain,-2.6667,-79.6167,Media Naranja
622,Harper,LR,80.62,overcast clouds,4.375,-7.7169,Screensaver
624,Pontianak,ID,76.98,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
625,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
631,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
632,Garoua Boulai,CM,76.71,broken clouds,5.8833,14.55,Motel l'as Vegas
634,Muritiba,BR,81.57,clear sky,-12.9167,-39.25,Amoras Hotel Fazenda
637,Bajil,YE,80.28,overcast clouds,15.0584,43.2851,فندق حضرموت
640,Puerto Madryn,AR,82.94,few clouds,-42.7692,-65.0385,Hotel Tolosa
644,Aloleng,PH,78.22,scattered clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
650,Conde,BR,83.66,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
652,Bosaso,SO,77.74,broken clouds,11.2842,49.1816,Red Sea Hotel
663,Nova Olimpia,BR,82.17,overcast clouds,-14.7972,-57.2881,Motel glamour
665,Auki,SB,76.64,overcast clouds,-8.7676,160.7034,Auki Motel
667,Lakatoro,VU,81.48,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
671,That Phanom,TH,75.47,broken clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
675,Pandan,PH,77.36,broken clouds,14.0453,124.1694,Bonifacio Lodge
686,Uthal,PK,77.59,clear sky,25.8072,66.6219,Al-Mustafa Hotel
689,Pimenta Bueno,BR,81.09,light rain,-11.6725,-61.1936,Cristalina Palace Hotel
692,Bitung,ID,76.05,light rain,1.4451,125.1824,K2 Lembeh
694,Neuquen,AR,85.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
701,Siocon,PH,79.18,overcast clouds,7.7061,122.1353,ABS Hotel
704,Telhara,IN,79.57,clear sky,21.0269,76.8389,Sarodes home
706,Bonthe,SL,79.36,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
